YYYYMMDD;HHMM;SLP;Q;S
20180718;1200;1022.0;2;5
20180719;1200;1020.7;2;5
20180720;1200;1020.1;2;5
20180721;1200;1020.1;2;5
20180722;1200;1020.2;2;5
20180723;1200;1021.4;2;5
20180724;1200;1022.3;2;5
20180725;1200;1022.9;2;5
20180726;1200;1022.2;2;5
20180727;1200;1021.3;2;5
20180728;1200;1020.8;2;5
20180729;1200;1020.0;2;5
20180730;1200;1019.4;2;5
20180731;1200;1019.1;2;5
20180801;1200;1018.2;2;5
20180802;1200;1018.7;2;5
20180803;1200;1018.6;2;5
20180804;1200;1018.0;2;5
20180805;1200;1017.0;2;5
20180806;1200;1019.1;2;5
20180807;1200;1020.0;2;5
20180808;1200;1021.0;2;5
20180809;1200;1019.6;2;5
20180810;1200;1018.2;2;5
20180811;1200;1017.9;2;5
20180812;1200;1016.8;2;5
20180813;1200;1015.7;2;5
20180814;1200;1016.4;2;5
20180815;1200;1018.8;2;5
20180816;1200;1021.7;2;5
20180817;1200;1022.7;2;5
20180818;1200;1021.6;2;5
20180819;1200;1021.6;2;5
20180820;1200;1022.5;2;5
20180821;1200;1022.5;2;5
20180822;1200;1021.8;2;5
20180823;1200;1020.6;2;5
20180824;1200;1020.8;2;5
20180825;1200;1021.4;2;5
20180826;1200;1021.1;2;5
20180827;1200;1020.9;2;5
20180828;1200;1022.0;2;5
20180829;1200;1022.2;2;5
20180830;1200;1020.5;2;5
20180831;1200;1019.1;2;5
20180901;1200;1019.3;2;5
20180902;1200;1019.3;2;5
20180903;1200;1017.6;2;5
20180904;1200;1014.6;2;5
20180905;1200;1016.5;2;5
20180906;1200;1019.1;2;5
20180907;1200;1019.4;2;5
20180908;1200;1018.6;2;5
20180909;1200;1018.7;2;5
20180910;1200;1018.4;2;5
20180911;1200;1017.6;2;5
20180912;1200;1018.6;2;5
20180913;1200;1019.4;2;5
20180914;1200;1018.1;2;5
20180915;1200;1016.6;2;5
20180916;1200;1015.4;2;5
20180917;1200;1016.0;2;5
20180918;1200;1017.0;2;5
20180919;1200;1017.9;2;5
20180920;1200;1019.4;2;5
20180921;1200;1018.4;2;5
20180922;1200;1015.8;2;5
20180923;1200;1016.3;2;5
20180924;1200;1017.4;2;5
20180925;1200;1017.5;2;5
20180926;1200;1017.9;2;5
20180927;1200;1017.5;2;5
20180928;1200;1016.6;2;5
20180929;1200;1015.9;2;5
20180930;1200;1016.6;2;5
20181001;1200;1017.6;2;5
20181002;1200;1018.1;2;5
20181003;1200;1017.2;2;5
20181004;1200;1016.3;2;5
20181005;1200;1015.9;2;5
20181006;1200;1016.6;2;5
20181007;1200;1018.3;2;5
20181008;1200;1018.7;2;5
20181009;1200;1018.0;2;5
20181010;1200;1017.1;2;5
20181011;1200;1017.8;2;5
20181012;1200;1018.9;2;5
20181013;1200;1017.7;2;5
20181014;1200;1013.8;2;5
20181015;1200;1012.1;2;5
20181016;1200;1013.2;2;5
20181017;1200;1015.3;2;5
20181018;1200;1014.5;2;5
20181019;1200;1011.2;2;5
20181020;1200;1009.5;2;5
20181021;1200;1014.2;2;5
20181022;1200;1017.1;2;5
20181023;1200;1016.9;2;5
20181024;1200;1016.6;2;5
20181025;1200;1015.8;2;5
20181026;1200;1013.9;2;5
20181027;1200;1012.1;2;5
20181028;1200;1011.0;2;5
20181029;1200;1014.5;2;5
20181030;1200;1016.6;2;5
20181031;1200;1016.5;2;5
20181101;1200;1014.9;2;5
20181102;1200;1013.9;2;5
20181103;1200;1014.0;2;5
20181104;1200;1012.8;2;5
20181105;1200;1014.1;2;5
20181106;1200;1015.4;2;5
20181107;1200;1016.1;2;5
20181108;1200;1016.4;2;5
20181109;1200;1017.1;2;5
20181110;1200;1015.1;2;5
20181111;1200;1014.0;2;5
20181112;1200;1014.9;2;5
20181113;1200;1015.8;2;5
20181114;1200;1014.9;2;5
20181115;1200;1014.2;2;5
20181116;1200;1016.4;2;5
20181117;1200;1018.2;2;5
20181118;1200;1017.9;2;5
20181119;1200;1016.2;2;5
20181120;1200;1017.7;2;5
20181121;1200;1018.3;2;5
20181122;1200;1018.1;2;5
20181123;1200;1016.9;2;5
20181124;1200;1016.5;2;5
20181125;1200;1016.2;2;5
20181126;1200;1015.9;2;5
20181127;1200;1015.8;2;5
20181128;1200;1015.3;2;5
20181129;1200;1014.1;0;0
20181130;1200;1012.4;0;0
20181201;1200;1011.4;2;1
20181202;1200;1009.7;2;1
20181203;1200;1008.5;2;1
20181204;1200;1008.5;2;1
20181205;1200;1009.8;2;1
20181206;1200;1012.9;2;1
20181207;1200;1014.2;2;1
20181208;1200;1013.1;2;1
20181209;1200;1018.0;2;1
20181210;1200;1020.8;2;1
20181211;1200;1020.6;2;1
20181212;1200;1019.2;2;1
20181213;1200;1017.2;2;1
20181214;1200;1017.5;2;1
20181215;1200;1019.0;2;1
20181216;1200;1019.5;2;1
20181217;1200;1018.4;2;1
20181218;1200;1017.8;2;1
20181219;1200;1016.2;2;1
20181220;1200;1015.0;2;1
20181221;1200;1014.3;2;1
20181222;1200;1014.3;2;1
20181223;1200;1014.2;2;1
20181224;1200;1014.5;2;1
20181225;1200;1014.4;2;1
20181226;1200;1014.0;2;1
20181227;1200;1013.2;2;1
20181228;1200;1013.8;2;1
20181229;1200;1013.1;2;1
20181230;1200;1013.8;2;1
20181231;1200;1014.4;2;1
