YYYYMMDD;HHMM;DYN;Q
20220404;1200;-9.99;2
20220405;1200;-9.99;2
20220406;1200;-9.99;2
20220407;1200;-9.99;2
20220408;1200;-9.99;2
20220409;1200;-9.99;2
20220410;1200;-9.99;2
20220411;1200;-9.99;2
20220412;1200;-9.99;2
20220413;1200;-9.99;2
20220414;1200;-9.99;2
20220415;1200;-9.99;2
20220416;1200;-9.99;2
20220417;1200;-9.99;2
20220418;1200;-9.99;2
20220419;1200;-9.99;2
20220420;1200;-9.99;2
20220421;1200;-9.99;2
20220422;1200;-9.99;2
20220423;1200;-9.99;2
20220424;1200;-9.99;2
20220425;1200;-9.99;2
20220426;1200;-9.99;2
20220427;1200;-9.99;2
20220428;1200;-9.99;2
20220429;1200;-9.99;2
20220430;1200;-9.99;2
20220501;1200;-9.99;2
20220502;1200;-9.99;2
20220503;1200;-9.99;2
20220504;1200;-9.99;2
20220505;1200;-9.99;2
20220506;1200;-9.99;2
20220507;1200;-9.99;2
20220508;1200;-9.99;2
20220509;1200;-9.99;2
20220510;1200;-9.99;2
20220511;1200;-9.99;2
20220512;1200;-9.99;2
20220513;1200;-9.99;2
20220514;1200;-9.99;2
20220515;1200;-9.99;2
20220516;1200;-9.99;2
20220517;1200;-9.99;2
20220518;1200;-9.99;2
20220519;1200;-9.99;2
20220520;1200;-9.99;2
20220521;1200;104.84;2
20220522;1200;104.95;2
20220523;1200;104.18;2
20220524;1200;104.18;2
20220525;1200;104.06;2
20220526;1200;103.60;2
20220527;1200;103.22;2
20220528;1200;103.41;2
20220529;1200;103.55;2
20220530;1200;103.64;2
20220531;1200;103.52;2
20220601;1200;103.68;2
20220602;1200;103.63;2
20220603;1200;103.97;2
20220604;1200;104.32;2
20220605;1200;103.26;2
20220606;1200;102.92;2
20220607;1200;102.74;2
20220608;1200;102.73;2
20220609;1200;102.95;2
20220610;1200;103.90;2
20220611;1200;103.90;2
20220612;1200;104.72;2
20220613;1200;104.53;2
20220614;1200;104.33;2
20220615;1200;103.94;2
20220616;1200;103.36;2
20220617;1200;103.31;2
20220618;1200;103.20;2
20220619;1200;102.57;2
20220620;1200;102.24;2
20220621;1200;101.62;2
20220622;1200;100.98;2
20220623;1200;101.04;2
20220624;1200;100.93;2
20220625;1200;100.71;2
20220626;1200;100.67;2
20220627;1200;100.10;2
20220628;1200;100.69;2
20220629;1200;100.95;2
20220630;1200;100.62;2
20220701;1200;100.43;2
20220702;1200;100.71;2
20220703;1200;100.59;2
20220704;1200;100.38;2
20220705;1200;99.72;2
20220706;1200;100.17;2
20220707;1200;100.39;2
20220708;1200;100.69;2
20220709;1200;100.76;2
20220710;1200;100.74;2
20220711;1200;100.86;2
20220712;1200;100.79;2
20220713;1200;100.22;2
20220714;1200;99.93;2
20220715;1200;100.02;2
20220716;1200;100.11;2
20220717;1200;100.15;2
20220718;1200;100.10;2
20220719;1200;99.61;2
20220720;1200;99.21;2
20220721;1200;98.84;2
20220722;1200;98.93;2
20220723;1200;98.82;2
20220724;1200;98.50;2
20220725;1200;98.25;2
20220726;1200;97.91;2
20220727;1200;97.63;2
20220728;1200;97.79;2
20220729;1200;97.82;2
20220730;1200;97.83;2
20220731;1200;98.07;2
20220801;1200;98.35;2
20220802;1200;98.74;2
20220803;1200;98.74;2
20220804;1200;99.11;2
20220805;1200;98.90;2
20220806;1200;99.00;2
20220807;1200;98.66;2
20220808;1200;98.69;2
20220809;1200;98.16;2
20220810;1200;98.55;2
20220811;1200;99.03;2
20220812;1200;99.51;2
20220813;1200;99.31;2
20220814;1200;99.71;2
20220815;1200;99.75;2
20220816;1200;99.78;2
20220817;1200;99.65;2
20220818;1200;99.45;2
20220819;1200;99.59;2
20220820;1200;99.46;2
20220821;1200;99.71;2
20220822;1200;99.65;2
20220823;1200;99.53;2
20220824;1200;98.74;2
20220825;1200;99.31;2
20220826;1200;99.16;2
20220827;1200;99.15;2
20220828;1200;99.16;2
20220829;1200;99.05;2
20220830;1200;98.99;2
20220831;1200;98.78;2
20220901;1200;98.62;2
20220902;1200;98.83;2
20220903;1200;99.14;2
20220904;1200;99.07;2
20220905;1200;99.30;2
20220906;1200;99.51;2
20220907;1200;99.19;2
20220908;1200;99.22;2
20220909;1200;99.03;2
20220910;1200;98.83;2
20220911;1200;98.18;2
20220912;1200;98.23;2
20220913;1200;98.16;2
20220914;1200;97.95;2
20220915;1200;97.99;2
20220916;1200;98.29;2
20220917;1200;98.30;2
20220918;1200;98.13;2
20220919;1200;98.60;2
20220920;1200;98.95;2
20220921;1200;99.19;2
20220922;1200;99.32;2
20220923;1200;99.51;2
20220924;1200;99.63;2
20220925;1200;100.17;2
20220926;1200;100.67;2
20220927;1200;100.13;2
20220928;1200;100.89;2
20220929;1200;101.37;2
20220930;1200;101.80;2
20221001;1200;101.96;2
20221002;1200;102.30;2
20221003;1200;102.39;2
20221004;1200;102.44;2
20221005;1200;102.17;2
20221006;1200;101.56;2
20221007;1200;100.62;2
20221008;1200;100.10;2
20221009;1200;100.56;2
20221010;1200;100.81;2
20221011;1200;101.12;2
20221012;1200;101.59;2
20221013;1200;102.02;2
20221014;1200;101.95;2
20221015;1200;101.38;2
20221016;1200;102.09;2
20221017;1200;101.90;2
20221018;1200;101.33;2
20221019;1200;101.50;2
20221020;1200;101.73;2
20221021;1200;101.75;2
20221022;1200;101.30;2
20221023;1200;101.01;2
20221024;1200;100.37;2
20221025;1200;99.87;2
20221026;1200;99.65;2
20221027;1200;99.94;2
20221028;1200;99.66;2
20221029;1200;99.81;2
20221030;1200;99.87;2
20221031;1200;99.86;2
20221101;1200;100.32;2
20221102;1200;100.37;2
20221103;1200;100.71;2
20221104;1200;100.23;2
20221105;1200;99.49;2
20221106;1200;98.97;2
20221107;1200;98.35;2
20221108;1200;98.12;2
20221109;1200;97.95;2
20221110;1200;97.63;2
20221111;1200;97.73;2
20221112;1200;98.10;2
20221113;1200;97.98;2
20221114;1200;98.07;2
20221115;1200;98.60;2
20221116;1200;98.84;2
20221117;1200;98.75;2
20221118;1200;98.92;2
20221119;1200;98.80;2
20221120;1200;98.54;2
20221121;1200;98.74;2
20221122;1200;99.07;2
20221123;1200;99.08;2
20221124;1200;98.98;2
20221125;1200;98.78;2
20221126;1200;98.37;2
20221127;1200;98.42;2
20221128;1200;97.96;2
20221129;1200;97.60;2
20221130;1200;97.67;2
20221201;1200;97.45;2
20221202;1200;98.43;2
20221203;1200;99.11;2
20221204;1200;99.36;2
20221205;1200;99.68;2
20221206;1200;100.04;2
20221207;1200;100.35;2
20221208;1200;100.52;2
20221209;1200;100.78;2
20221210;1200;100.73;2
20221211;1200;100.74;2
20221212;1200;100.93;2
20221213;1200;101.32;2
20221214;1200;101.57;2
20221215;1200;101.28;2
20221216;1200;100.73;2
20221217;1200;100.30;2
20221218;1200;100.11;2
20221219;1200;100.11;2
20221220;1200;99.76;2
20221221;1200;99.82;2
20221222;1200;99.47;2
20221223;1200;99.24;2
20221224;1200;99.64;2
20221225;1200;99.41;2
20221226;1200;99.16;2
20221227;1200;99.35;2
20221228;1200;99.04;2
20221229;1200;98.76;2
20221230;1200;98.65;2
20221231;1200;98.66;2
